Noise Level,,None,None,None,None,None,None,None,None,None,None,None,None,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,High,High,High,High,High,High,High,High,High
Model Complexity,,Simple,Simple,Simple,Simple,Middle,Middle,Middle,Middle,Complex,Complex,Complex,Complex,Simple,Simple,Simple,Simple,Middle,Middle,Middle,Middle,Complex,Complex,Complex,Complex,Simple,Simple,Simple,Simple,Middle,Middle,Middle,Middle,Complex,Complex,Complex,Complex
Window Size,,50,100,150,200,50,100,150,200,50,100,150,200,50,100,150,200,50,100,150,200,50,100,150,200,50,100,150,200,50,100,150,200,50,100,150,200
Size,Max. Trace Length,inf,inf,inf,inf,4.109316306588671,4.945953082493251,5.3342005316874435,5.805961842718615,4.18020730314662,4.499704135131832,4.956209599663035,5.520416458809927,13.006335336720609,10.233855171466661,9.269656953509308,8.7935847878234,4.111148057636831,4.948725145600507,5.345095608671932,5.815154114495543,4.182807325988939,4.498161689210977,4.956209599663035,5.520416458809927,10.090195487648916,9.038506038473438,9.141377064660034,9.695433753825736,4.117603974252864,4.931920443134629,5.3342005316874435,5.800712194576343,4.18221221906737,4.499704135131832,4.956209599663035,5.520416458809927
Variation,Percentage of Distinct Traces,inf,inf,inf,inf,9.735817766467108,11.669364761718924,12.452252777290326,14.44507375809087,12.427361489322925,14.758842636961592,18.096275320384542,19.6449793326555,5.31187079962698,5.231649821813935,4.808574168173845,4.871650415496199,9.6005530848435,11.591012902473175,12.255856031228205,14.267786592462901,12.420956655157648,14.98806693294447,18.17274109256438,19.76596661821818,3.9999109020292103,3.995328898148447,4.296833826814552,4.359491792047747,9.28099081106407,11.03021506590157,12.542355533260128,13.610912360462851,12.411939465296555,15.157843522733367,18.26487504643873,19.79831186918966
Variation,Average Distinct Activities per Trace,inf,inf,inf,inf,24.34452747963377,35.49926100245258,41.911251513203474,50.501177747235715,17.26557904520942,26.713117496372377,31.308426688478278,35.858581458895216,360.71901636718064,531.7025241844901,631.2990106302362,750.4588268438866,24.40125216969438,35.43952218048675,41.91307048466416,50.61161447089842,17.300760789365643,26.639519033930522,31.337795986191264,35.866555582327976,264.0879724929172,373.4448682333058,468.40814088647335,537.8682778202613,24.407307275086662,35.5103936042719,41.782768161468425,50.35603569778384,17.266674476525203,26.70731134740305,31.21559717049778,35.727790596550435
Variation,Structure,inf,inf,inf,inf,116.40251556381615,399.0119529095408,1256.788011369495,inf,131.0672956499852,195.7081424454068,333.51161258066657,498.6073494872901,16.819817206711832,12.635679102399873,10.889128229237317,9.269004214641395,36.9470990290549,27.061281130671254,23.12916236619273,21.690030147630715,52.95182169368966,39.24232215651815,33.9867717580246,28.497730905427936,13.306340191756899,9.755354077031571,8.236229899839387,6.8541936208924685,28.766695149767003,22.011228234268074,18.825209013905273,16.277964863479475,41.935134329008854,33.090176494350686,27.750949500666806,24.18733244090881
Variation,Estimated Number of Acyclic Paths,inf,inf,inf,inf,7.674595831701445,23.016568523927116,71.74017853302925,inf,4.3752536113876115,6.587070676340432,11.145148796609812,16.946974105533684,3.105090474018648,2.504688205968898,2.0488537097834385,1.9214882992425886,1.4799037908221953,1.292120848763159,1.1654116218987178,1.072462709665619,0.7626897677135247,0.6297097444825019,0.5183805819602764,0.5161497422426577,2.3580305666024666,1.9737169106961774,1.8456436464998305,1.7696706939826188,1.174501628717135,1.0347617830480023,0.9939592055693759,0.9885038494969356,0.5818759460835099,0.6048343145730435,0.5346285319431034,0.4688227313637806
Variation,Number of Ties in Paths to Goal,inf,inf,inf,inf,6.184962844115409,7.609035183039458,8.763853026238039,9.853324737049636,6.931892873535029,8.826088071944543,11.226361401721086,12.927831561830773,4.279297768057066,4.539987029127605,4.764168761516174,4.553545519552403,6.114719231658691,7.542376620019161,8.641883091602764,9.913844154005155,6.924683489913671,8.808940390478599,11.261328561830323,12.95704568010283,3.4678109720649433,3.7029965463579835,3.935411805899851,4.195584619349496,5.816262406281517,7.522692629540392,8.69685084722764,9.690871391558472,6.931611185609324,8.818903226362563,11.224914648005026,12.94341219075908
Variation,Lempel-Ziv Complexity,46.58161233607104,59.92206091951947,66.18063007021385,76.37169982479044,13.469792265827882,20.37624543845003,22.478420542573865,25.350371233379327,12.31178592813161,16.581016363314482,21.821196428611657,25.82676751429132,15.557437300103622,14.310342308131723,12.82009983685555,13.041047296962788,13.406108929101677,20.10223470364365,21.672533225566042,24.69526831503161,12.367514976316542,16.531600421594373,21.525038438001722,25.64820914360368,12.046125477378038,11.576466896245103,12.224980762924686,13.382927597638695,13.435414124004405,19.960919371752006,21.746678189654236,23.96173271730435,12.32966832257313,16.46683889471145,21.69347585457413,25.25590372236936
Distance,Average Affinity,301.09361762371583,669.4870998541326,1147.5161465646993,1310.8805183840861,38.55925551511422,56.262782464254656,70.56147638580532,85.38652122057866,30.77033455782295,46.41072787683848,56.07510900428108,64.16192907376453,152.73572575459247,248.52674448618467,311.14058240672,362.2354437204591,37.73333225562605,55.59151356241965,69.11531611472404,85.14262979560286,30.455787997740394,45.31630359829239,54.624900573878236,61.458854647078866,115.67612784161469,177.5971882788994,230.16472430476173,262.2660894798177,35.18561927208424,55.669741115663136,70.23398399408353,82.1232437766121,30.948105680299292,46.01216448721348,55.943458676496945,64.88633675322646
Distance,Deviation from Random,98.51559584176465,178.2513404068301,204.39992028159233,252.16237414938922,80.7465116530475,112.32390663985464,140.23770982519594,162.88070937169124,99.59767230929634,140.9341078538214,173.12551893262395,203.11101220027842,89.92307840778781,120.16537748747446,119.58293249242485,132.01050988803493,80.15269698294715,111.70462599782935,134.6957920476711,152.855841540364,98.08924357703347,138.74598930057948,176.28941139036397,206.58679404283637,72.31820184486905,93.13186094332437,104.05429611312891,111.33004133145415,77.16000623234567,107.92096999298735,134.06341602129086,153.27276367770807,97.53757031207213,135.9194023241384,170.47251460519314,201.4017591021083
Distance,Average Edit Distance,17.662487090368717,24.74318681140901,28.308792678390926,35.5068067226047,7.7569445444039395,11.54647023897731,13.586055884670014,15.640707671630924,7.810954237648518,10.63822899315904,13.424936145594753,15.575704520213518,11.42203681465622,15.699786346866095,19.172018009280183,21.21475232144789,7.773313430378378,11.581871808567376,13.64239627699356,15.706872699175237,7.832218405558482,10.61799485872506,13.42904664971092,15.584468672945977,8.607341674876254,12.13274491856814,15.15136351383303,17.472491587988394,7.75942513051872,11.561529255270312,13.613971878930766,15.672544201309076,7.811333139773769,10.630573594725469,13.416858151831816,15.515861158635179
Graph Entropy,Sequence Entropy,10.047002946164671,13.412152692674079,16.538789740597856,17.286455792592196,8.591824374030502,11.271483702356143,13.449322974847648,15.730057024764339,7.767569414361957,10.520719491257005,12.746625734591852,14.630181394246788,8.221949739195114,11.260216331409808,11.00653875074802,12.411837388562365,8.580001640108794,11.361560210161736,13.461123839222571,15.872058754177514,7.764335328738419,10.495196376843783,12.746662796106524,14.685825999520787,6.9297420071327345,8.983771211910007,10.23353132064075,11.363886249393449,8.565083812100353,11.443659583445621,13.44247809825021,15.759732247337489,7.782042664252115,10.51038013186977,12.745155209917623,14.491828435329733
Graph Entropy,Normalized Sequence Entropy,12.460573507288274,16.101324607550186,18.600980640213326,22.025309202906556,26.112725113083037,36.828447259446875,42.09335684463007,45.10353351977659,33.451570585096135,48.45887072037434,61.68089463757969,65.45674515065011,9.826595532385655,12.750953278670607,12.45927359762339,13.663405485211278,26.257443955221564,36.538158935074634,41.44138427454598,44.37909489353379,33.34640697592167,47.954997527413326,61.34093325622486,65.5429135762273,8.102603594638618,9.687974866469045,11.005739800580137,12.04474756326906,25.750152436904727,36.45850839899989,39.47011356169307,45.08564283105496,33.52234365907125,48.673600426056495,61.21557221166729,66.71731635257018
Graph Entropy,Variant Entropy,9.465178079911945,14.492982829509131,23.499053078151377,24.047354886305914,5.42219041717053,7.298096812823153,8.304807855678042,9.467464374443793,5.807370252199995,7.33935509579886,9.235776353133792,10.625471798061827,3.1620227830064076,3.1056028839249277,3.2152949692971164,3.2259710916046966,5.344570762190226,7.0957376309029625,7.970064712834397,9.222341895201946,5.8247444924431395,7.284903671950323,9.175206975019368,10.6064572765548,2.347802190757798,2.8308937205488682,2.933074633949645,3.0575023269473762,5.213838582515956,6.975529423275312,7.781403221800884,8.887126608889183,5.783162657591246,7.3770055873398235,9.188764244895342,10.538521307596588
Graph Entropy,Normalized Variant Entropy,35.42900240528653,85.84024082023356,88.52220199916437,110.30288485084763,27.046052166502097,39.54215387681626,46.520515330277334,52.74635767262353,28.8259145823179,44.20168787532742,57.14548076869606,68.52609541400622,10.607129981995005,11.536738884718385,13.048941426745774,14.740271597916689,27.476744526949503,39.02089825718636,46.2886251564743,52.688150085924526,29.03033515881499,44.584504174886916,57.878972070153225,69.0935702005465,9.339116632639701,11.018168615736588,13.35475845695425,14.174498230490002,27.559960220786966,39.17069276800075,47.83004013972781,54.657239362552986,28.91534762633509,44.403945305075666,57.64684787794671,68.62873584251342
