Noise Level,,None,None,None,None,None,None,None,None,None,None,None,None,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,High,High,High,High,High,High,High,High,High
Model Complexity,,Simple,Simple,Simple,Simple,Middle,Middle,Middle,Middle,Complex,Complex,Complex,Complex,Simple,Simple,Simple,Simple,Middle,Middle,Middle,Middle,Complex,Complex,Complex,Complex,Simple,Simple,Simple,Simple,Middle,Middle,Middle,Middle,Complex,Complex,Complex,Complex
Window Size,,50,100,150,200,50,100,150,200,50,100,150,200,50,100,150,200,50,100,150,200,50,100,150,200,50,100,150,200,50,100,150,200,50,100,150,200
Size,Max. Trace Length,0.0,0.0,0.0,0.0,0.2433501222553313,0.20221550994146145,0.18747784752903468,0.17223887297847917,0.23923139677641175,0.22226597739017723,0.2017762500691611,0.1811458179525426,0.07690014974078768,0.09774214171652185,0.10788042308487872,0.11372117478787132,0.24324148802515366,0.20210502447346293,0.18709137515025936,0.1719651247782184,0.23908165864163727,0.22234398675262762,0.2017762500691611,0.1811458179525426,0.09910801260171989,0.11063788929177129,0.10940130006442556,0.10314137735077866,0.24286069464404716,0.2028011487346958,0.18747784752903468,0.17239379788709241,0.23911814858848798,0.22226597739017723,0.2017762500691611,0.1811458179525426
Variation,Percentage of Distinct Traces,0.005897471069111759,0.0,0.0,0.0,0.10278734350259813,0.08570845730689786,0.08031304074127504,0.06924304736131881,0.080468750178428,0.068379912598993,0.055516296409175075,0.051183522533460625,0.18826866151861416,0.1917813963243502,0.20799205330220857,0.2061896780095374,0.10417253532267443,0.0862745637621076,0.08161106375834486,0.07014490895973666,0.08051208169323407,0.0671262174980433,0.05529467864814046,0.05086699682857805,0.25281027810256174,0.25170158903904316,0.2404464472387396,0.2320244225083346,0.1077489126909485,0.09066088715644106,0.07973173669971179,0.07347456816305264,0.08056807972874078,0.06635178330272808,0.054961899930059926,0.050780043658853885
Variation,Average Distinct Activities per Trace,0.0,0.0,0.0,0.0,0.041082934363575435,0.02817482191419359,0.023866745338904198,0.01980433035043218,0.05829581014654661,0.03743652516704536,0.031995452739296854,0.02789652932238098,0.002772384257823065,0.0018816767930628364,0.0015841666292176313,0.0013325535105681349,0.040994677785767625,0.028225550007500627,0.02387488869819556,0.019767323633423248,0.05818711638826789,0.03753864639229376,0.031973902317371024,0.027896886439647675,0.003787671189406791,0.0026780381323361184,0.0021359876602576036,0.0018591940757520828,0.04097429315627818,0.028164596785478377,0.023943013973392213,0.01986591370345269,0.05831219534973484,0.037443721635165184,0.03210059398256127,0.028005162175425417
Variation,Structure,0.0,0.0,0.0,0.0,0.00872919373325123,0.0026800469202281733,0.0008194524794801326,0.0,0.007638927716483834,0.005121933708650316,0.0031094647780215597,0.0021545258235651735,0.05945663223658265,0.07914212794381062,0.09188654703290965,0.10796850773377559,0.027067450169327788,0.036953187844245214,0.043263594375451325,0.04611826646407363,0.018896363779022804,0.025483558938874183,0.02945404896564141,0.03509092820518933,0.07531534788289032,0.10274363612347602,0.12142519855020278,0.1459095594298072,0.0349186428009315,0.04545723528597423,0.05314716982824821,0.061467576808491756,0.02384642424581144,0.030237369007215457,0.03604661217586067,0.041415822387909
Variation,Estimated Number of Acyclic Paths,0.0,0.0,0.0,0.0,0.137618690695741,0.045946203948016406,0.014357846036101633,0.0,0.22870695800949015,0.15299055050617075,0.09842069883587307,0.06752064655765475,0.3222769034484907,0.39956583782490285,0.48843690239697246,0.5205017001244768,0.6763728736039991,0.7742060173185823,0.858071655695446,0.9330099524775958,1.3111645236225007,1.5882298147566627,1.936471504992904,1.9385408680020295,0.42408289695210705,0.5066829988120848,0.5418651702234307,0.5656618458734465,0.852005819031739,0.9664061930399881,1.0062584604478755,1.0118595310887555,1.7188974424380357,1.6560980878562301,1.8706584990841857,2.134183098125517
Variation,Number of Ties in Paths to Goal,0.005897471069112156,0.0,0.0,0.0,0.16179147310686304,0.13144903436372668,0.11415985596770326,0.10148904850522909,0.144288785996345,0.11339846405036823,0.0891205494493775,0.07735320032121691,0.23373372922334862,0.22165032354741412,0.20991617468067492,0.21964546865120055,0.16356934726047664,0.1325891454780857,0.11579693541538454,0.10086911002918966,0.1444242916339922,0.11359845490347663,0.08884729398806458,0.07717910302567801,0.2900347915503262,0.2707948042203998,0.2587732071017648,0.24227520620819407,0.17209297381781233,0.13293134183379338,0.1150751647518234,0.10319901410251198,0.14429310692876385,0.11345742755170458,0.08912219238555207,0.07726019653533739
Variation,Lempel-Ziv Complexity,0.021468383732969124,0.016688476971396044,0.015139035169872354,0.013112914226139414,0.07424555268746696,0.04907842477608666,0.04453693256072801,0.03945624431615249,0.08122333897634954,0.06031065546431447,0.045828601903368696,0.03874480719838841,0.06427936371755051,0.06990980812404274,0.07807784133552162,0.07668182822887386,0.07459804939247751,0.04974571562525765,0.0461447830651299,0.04049430826181796,0.0808569893956454,0.060490220196059465,0.04647933175035798,0.03899393176831248,0.08302475897757292,0.08638310314794981,0.08180019137085083,0.07473372286789556,0.07443724427957885,0.05011224257179712,0.04598484642387763,0.04173336975439868,0.0811445363127132,0.06072930002672204,0.04611441657393507,0.039598934900151456
Distance,Average Affinity,0.003691030793272442,0.0016363275043801563,0.0009532764187853476,0.0008042081999492818,0.025994505214188723,0.017789863112438763,0.014274565995432557,0.01179547138605309,0.032526100734830976,0.02165209490223191,0.017852726771882425,0.015587208318130846,0.00655081372837794,0.004024040531776925,0.0032143689217270493,0.0027609747341979943,0.02652920954072849,0.018000701965751396,0.014539402350892145,0.011773849387697412,0.032860001708571424,0.022165945754464775,0.018318950829892787,0.0162738217244655,0.008645537390282565,0.005633387790364364,0.004344735812678731,0.00381371654633662,0.028425586042001204,0.017983016133391917,0.014321283292161086,0.012255366843995315,0.032349960719338725,0.021892168964572536,0.017894048779618192,0.015411588338588168
Distance,Deviation from Random,0.010425975414244143,0.005616761834765504,0.004898802949524425,0.0040165460556099535,0.012384914629146574,0.008903491119004944,0.007135942954809628,0.006140359582842493,0.010041719587313334,0.00712013096376015,0.005778036569755654,0.004930940190812059,0.011246377074390492,0.008323941394769357,0.008378042324942412,0.0075965007187803486,0.012476578210547925,0.00895342909505188,0.007425137490402514,0.006542604805798116,0.010195646865011784,0.0072314781490603105,0.005672522185361888,0.004840903882533332,0.013827871204531455,0.010758008989680958,0.009614036548609971,0.009048211114146748,0.012960139477628085,0.009266241517183344,0.007460803106536414,0.00652511758670576,0.010252469811486305,0.007371353103064407,0.005871902100519414,0.004966964553338943
Distance,Average Edit Distance,0.056617168062661795,0.04041516590493925,0.0353247138216295,0.028163614030753435,0.12893462587090404,0.08671196402678968,0.07362038810638212,0.06394641264069786,0.12802771560347367,0.09400773226944173,0.07452468651757674,0.0642063967316342,0.08760076926351103,0.06370160308675973,0.05215935642375583,0.047141530420782576,0.1286636318854134,0.08644010636265742,0.07331599419482888,0.0636777394404652,0.12767852452565698,0.09418465055609242,0.07450049134937167,0.06417106787997633,0.11618012214553514,0.08243795770690586,0.06600706292355034,0.05723766288163786,0.12889355173179226,0.08660190785727959,0.07346796469741554,0.06381464750099769,0.12801922868087245,0.09407191501252346,0.07457033014477306,0.06445267849474642
Graph Entropy,Sequence Entropy,0.0995321694796296,0.07455924659627647,0.06046391638593086,0.05784875812591568,0.11639196640783336,0.0887203533477237,0.07435641452294625,0.06357283547137814,0.12878197281540799,0.09509915064255697,0.07853309410249577,0.06850095807160293,0.12163736819912807,0.08885246643281725,0.09108029365901527,0.08066452008953501,0.11655286739491988,0.08802076107203113,0.07428853822091724,0.06300383434016185,0.1288463638623467,0.09535091618101019,0.07852531053440731,0.06825839513000131,0.14431253189411708,0.11138696316141464,0.09774827408664061,0.08807039625831088,0.11675409378891963,0.08738649937079067,0.07439104822858222,0.06345884314212899,0.12854683749750764,0.09521112297459511,0.0785220300832038,0.06907657307926723
Graph Entropy,Normalized Sequence Entropy,0.08025312794913439,0.06210669149115117,0.05376060646168876,0.045402313801253494,0.038297903822282486,0.02716976314606167,0.023757131102942232,0.02217131727403984,0.029918334785523238,0.020962665099461205,0.016630843738218066,0.015520255371035418,0.10176512886555714,0.07843545035617913,0.0802810454009,0.0732648164599295,0.03808567105283618,0.02738088804838439,0.024130844461469462,0.022535248464912953,0.030011092815221286,0.021191590351346858,0.016712663735395743,0.0154939911456572,0.12348997614944054,0.10342653510659722,0.09087987490816293,0.08302740073969617,0.03883533942916314,0.02742845405626599,0.025355885390663503,0.022193090403657377,0.029832699501437417,0.02077511533470544,0.016638706949840813,0.015170054325297777
Graph Entropy,Variant Entropy,0.1056504158249607,0.06899890876596515,0.042554906220019825,0.04158461521975805,0.18446753293051515,0.137022981052229,0.12041351476530765,0.10568514071326168,0.17219521996301762,0.13625825679610443,0.10827465050686802,0.09413878839178055,0.316266772637804,0.3244038573277098,0.3110134574373877,0.3100830208172468,0.18711828006229397,0.1410688839912572,0.12564518244506115,0.108436908221797,0.17169238823216842,0.13727466436728994,0.10898976745778853,0.09428428135386174,0.4311356711671363,0.35569405546205257,0.3458908058013067,0.3294459691540842,0.19186658474443496,0.14336633434698698,0.1285206260675279,0.11253934936452151,0.17293367918883884,0.1355649835255507,0.10883313054500705,0.09490120565353341
Graph Entropy,Normalized Variant Entropy,0.028225463098300086,0.011649547932818569,0.01129660104941176,0.00906594602083352,0.03697413582224178,0.02531070231888305,0.021503067590951434,0.018959671317828976,0.03471316019997449,0.022666642741039685,0.01751302427527839,0.014597854054719849,0.09567557288640366,0.08668040069619912,0.07836160861977139,0.0714528508740348,0.03640567263544913,0.02562730617587975,0.02160993449526269,0.018987412115087074,0.034469835137386294,0.02247897602822033,0.017293817636539817,0.014486166141089196,0.10725753034078037,0.09308364618268732,0.0758130343235294,0.07170219335057668,0.036293311896021196,0.02553486249869317,0.020942383269849794,0.01830415241104228,0.03460107331859673,0.022561397025860436,0.017362424700083944,0.014581501532709634
