Metric,Basis,Dimension,Log,Pearson Rho,Spearman Rho,Pearson P,Spearman P,n,N Pop,Delta Pearson Spearman,Shape,Preferred Correlation,RelCI 100,RelCI 500,RelCI 1000,Plateau n,Plateau Found,Plateau Reached,Timestamp
Estimated Number of Acyclic Paths,PC,Variation,MEAN,0.5341790868,0.7459360353,0.0000000000,0.0000000000,1000,81728,0.2117569485,,,2.228229805726168,2.6937115133,2.1573741135205493,6100.0000000000,2 / 2,2 / 2 (avg. 6100),2026-04-27T10:15:26.913685
Number of Ties in Paths to Goal,CT,Variation,BPIC12,0.9699531077,0.9704823707,0.0000000000,0.0000000000,1000,81728,0.0005292631,Linear,Pearson,0.6186097375987016,0.3926493463,0.33939725447295055,,False,N,2026-04-27T10:15:26.809255
Number of Ties in Paths to Goal,CT,Variation,RTFMP,0.5918323095,0.7050933726,0.0000000000,0.0000000000,1000,81728,0.1132610631,Linear,Pearson,0.8854310107408424,1.0592131945,0.8354040353841568,5100.0000000000,True,Y (5100),2026-04-27T10:15:26.813320
Number of Ties in Paths to Goal,CT,Variation,MEAN,0.7808927086,0.8377878717,0.0000000000,0.0000000000,1000,81728,0.0568951631,,,0.752020374169772,0.7259312704,0.5874006449285536,,1 / 2,1 / 2,2026-04-27T10:15:26.938278
Lempel-Ziv Complexity,CT,Variation,BPIC12,0.9884769302,0.9882069399,0.0000000000,0.0000000000,1000,81728,0.0002699904,Linear,Pearson,0.27279570596321273,0.2073540469,0.15642766276019685,,False,N,2026-04-27T10:15:26.816878
Lempel-Ziv Complexity,CT,Variation,RTFMP,0.9672313583,0.9699353723,0.0000000000,0.0000000000,1000,81728,0.0027040140,Linear,Pearson,0.3227133348291076,0.3273359057,0.2499497840715074,,False,N,2026-04-27T10:15:26.821131
Lempel-Ziv Complexity,CT,Variation,MEAN,0.9778541442,0.9790711561,0.0000000000,0.0000000000,1000,81728,0.0014870022,,,0.2977545203961601,0.2673449763,0.20318872341585212,,0 / 2,0 / 2,2026-04-27T10:15:26.915472
Average Affinity,CT,Distance,BPIC12,-0.0259791423,0.0475640420,0.4118492979,0.1328192903,1000,81728,0.0735431843,Linear,Pearson,0.17441606658354988,0.1028836517,0.10777052261901539,100.0000000000,True,Y (100),2026-04-27T10:15:26.824634
Average Affinity,CT,Distance,RTFMP,-0.0824211976,-0.0805168360,0.0091188782,0.0108616769,1000,81728,0.0019043616,Linear,Pearson,0.3673409426952606,0.2917129156,0.2600841392963511,1100.0000000000,True,Y (1100),2026-04-27T10:15:26.828140
Average Affinity,CT,Distance,MEAN,-0.0542001700,-0.0164763970,0.2104840881,0.0718404836,1000,81728,0.0377237729,,,0.2708785046394052,0.1972982837,0.18392733095768324,600.0000000000,2 / 2,2 / 2 (avg. 600),2026-04-27T10:15:26.896870
