Metric,Sample Size,Mean Value,Median Value,Sample Q05,Sample Q95,Empirical CI Rel Width,Sample CI Low,Sample CI High,Sample CI Rel Width,Sample Std,Bootstrap CI Low,Bootstrap CI High,Pearson Rho,Pearson P,Spearman Rho,Spearman P,Plateau n,Plateau Found
Max. Trace Length,300,8.56,9.0,6.0,11.0,0.5841121495327103,,,,,,,0.3025533045953301,1.294828490748581e-22,0.3827317930044727,3.101655595898593e-36,,False
Max. Trace Length,400,8.97,9.0,6.0,11.149999999999991,0.5741360089186166,,,,,,,0.3025533045953301,1.294828490748581e-22,0.3827317930044727,3.101655595898593e-36,,False
Max. Trace Length,500,9.09,9.0,6.0,10.0,0.44004400440044006,,,,,,,0.3025533045953301,1.294828490748581e-22,0.3827317930044727,3.101655595898593e-36,,False
Max. Trace Length,600,9.01,9.0,6.0,11.0,0.5549389567147613,,,,,,,0.3025533045953301,1.294828490748581e-22,0.3827317930044727,3.101655595898593e-36,,False
Max. Trace Length,700,9.32,9.0,6.95,12.099999999999994,0.5525751072961367,,,,,,,0.3025533045953301,1.294828490748581e-22,0.3827317930044727,3.101655595898593e-36,,False
Max. Trace Length,800,9.74,9.0,7.0,16.0,0.9240246406570841,,,,,,,0.3025533045953301,1.294828490748581e-22,0.3827317930044727,3.101655595898593e-36,,False
Max. Trace Length,900,9.13,9.0,6.0,10.0,0.43811610076670315,,,,,,,0.3025533045953301,1.294828490748581e-22,0.3827317930044727,3.101655595898593e-36,,False
Max. Trace Length,1000,9.65,9.0,8.95,12.0,0.3160621761658032,,,,,,,0.3025533045953301,1.294828490748581e-22,0.3827317930044727,3.101655595898593e-36,,False
Min. Trace Length,100,2.03,2.0,2.0,2.0,0.0,,,,,,,-0.049568159709660956,0.1172350367533971,-0.04956815970966097,0.11723503675339603,,False
Min. Trace Length,200,2.0,2.0,2.0,2.0,0.0,,,,,,,-0.049568159709660956,0.1172350367533971,-0.04956815970966097,0.11723503675339603,,False
Min. Trace Length,300,2.0,2.0,2.0,2.0,0.0,,,,,,,-0.049568159709660956,0.1172350367533971,-0.04956815970966097,0.11723503675339603,,False
Min. Trace Length,400,2.0,2.0,2.0,2.0,0.0,,,,,,,-0.049568159709660956,0.1172350367533971,-0.04956815970966097,0.11723503675339603,,False
Min. Trace Length,500,2.0,2.0,2.0,2.0,0.0,,,,,,,-0.049568159709660956,0.1172350367533971,-0.04956815970966097,0.11723503675339603,,False
Min. Trace Length,600,2.0,2.0,2.0,2.0,0.0,,,,,,,-0.049568159709660956,0.1172350367533971,-0.04956815970966097,0.11723503675339603,,False
Min. Trace Length,700,2.0,2.0,2.0,2.0,0.0,,,,,,,-0.049568159709660956,0.1172350367533971,-0.04956815970966097,0.11723503675339603,,False
Min. Trace Length,800,2.0,2.0,2.0,2.0,0.0,,,,,,,-0.049568159709660956,0.1172350367533971,-0.04956815970966097,0.11723503675339603,,False
Min. Trace Length,900,2.0,2.0,2.0,2.0,0.0,,,,,,,-0.049568159709660956,0.1172350367533971,-0.04956815970966097,0.11723503675339603,,False
Min. Trace Length,1000,2.0,2.0,2.0,2.0,0.0,,,,,,,-0.049568159709660956,0.1172350367533971,-0.04956815970966097,0.11723503675339603,,False
Normalized Sequence Entropy,100,0.14015970847230877,0.1410193619877282,0.07917904522130881,0.20192421727921048,0.875752192950318,,,,,,,-0.2651883402598876,1.4805635003848e-17,-0.2459525751114266,3.0345849870711523e-15,,False
Normalized Sequence Entropy,200,0.1278365759882724,0.1230295300619859,0.08355255251758249,0.18575046280379423,0.7994418615810492,,,,,,,-0.2651883402598876,1.4805635003848e-17,-0.2459525751114266,3.0345849870711523e-15,,False
Normalized Sequence Entropy,300,0.12332831769803042,0.1237742008718328,0.0764823087494371,0.1727851840338044,0.7808658796446495,,,,,,,-0.2651883402598876,1.4805635003848e-17,-0.2459525751114266,3.0345849870711523e-15,,False
Normalized Sequence Entropy,400,0.12352129534765373,0.12164450837975185,0.07735113516452237,0.1742357177332166,0.7843552991895867,,,,,,,-0.2651883402598876,1.4805635003848e-17,-0.2459525751114266,3.0345849870711523e-15,,False
Normalized Sequence Entropy,500,0.11207476615215924,0.11058249521594851,0.07012516275497503,0.1640726900015751,0.8382576245490571,,,,,,,-0.2651883402598876,1.4805635003848e-17,-0.2459525751114266,3.0345849870711523e-15,,False
Normalized Sequence Entropy,600,0.12087639214124764,0.11859200877259296,0.07692395030540386,0.17401178835695172,0.8031993372047195,,,,,,,-0.2651883402598876,1.4805635003848e-17,-0.2459525751114266,3.0345849870711523e-15,,False
Normalized Sequence Entropy,700,0.11335108326833256,0.1125570708916876,0.07701785934795001,0.15620224872521535,0.6985763796347191,,,,,,,-0.2651883402598876,1.4805635003848e-17,-0.2459525751114266,3.0345849870711523e-15,,False
Normalized Sequence Entropy,800,0.11436127179990542,0.11506784697212716,0.07441698805012349,0.15973952114500287,0.746078910736195,,,,,,,-0.2651883402598876,1.4805635003848e-17,-0.2459525751114266,3.0345849870711523e-15,,False
Normalized Sequence Entropy,900,0.1078542728276613,0.1083477146884809,0.06591064890949501,0.14698030646386112,0.7516592104228089,,,,,,,-0.2651883402598876,1.4805635003848e-17,-0.2459525751114266,3.0345849870711523e-15,,False
Normalized Sequence Entropy,1000,0.10723292728386653,0.10101893771977954,0.07367204143366503,0.15704296612293442,0.7774750424239585,,,,,,,-0.2651883402598876,1.4805635003848e-17,-0.2459525751114266,3.0345849870711523e-15,,False
Normalized Variant Entropy,100,0.5949690007449688,0.6033765027618887,0.49636396470677896,0.6672836746861144,0.2872749836803674,,,,,,,0.4013045293158639,5.521649630226737e-40,0.3885267213078537,2.225187143550863e-37,,False
Normalized Variant Entropy,200,0.6103981436360103,0.6137498803607568,0.5283660752323645,0.6667741917609763,0.22675055285087287,,,,,,,0.4013045293158639,5.521649630226737e-40,0.3885267213078537,2.225187143550863e-37,,False
Normalized Variant Entropy,300,0.6173936952000745,0.6197306129554898,0.5487202447579272,0.6746220498161323,0.2039246691973505,,,,,,,0.4013045293158639,5.521649630226737e-40,0.3885267213078537,2.225187143550863e-37,,False
Normalized Variant Entropy,400,0.627308924523717,0.6301145500311867,0.5679473167531391,0.6843609777176681,0.18557628691942463,,,,,,,0.4013045293158639,5.521649630226737e-40,0.3885267213078537,2.225187143550863e-37,,False
Normalized Variant Entropy,500,0.6334705003564652,0.631994458885903,0.5689472736449342,0.6809273230071474,0.17677231899386,,,,,,,0.4013045293158639,5.521649630226737e-40,0.3885267213078537,2.225187143550863e-37,,False
Normalized Variant Entropy,600,0.6381403028206997,0.6406659683122099,0.5775602672631305,0.6937259021168107,0.1820377655825943,,,,,,,0.4013045293158639,5.521649630226737e-40,0.3885267213078537,2.225187143550863e-37,,False
Normalized Variant Entropy,700,0.6434427460936399,0.6510402174189033,0.5764205720758633,0.6993318264151631,0.19102127591848336,,,,,,,0.4013045293158639,5.521649630226737e-40,0.3885267213078537,2.225187143550863e-37,,False
Normalized Variant Entropy,800,0.6404141803146185,0.6419736717803485,0.5950185197424136,0.6845110499231115,0.1397416436605645,,,,,,,0.4013045293158639,5.521649630226737e-40,0.3885267213078537,2.225187143550863e-37,,False
Normalized Variant Entropy,900,0.6536699897064387,0.6564750710953151,0.5818187187622336,0.7082623662902049,0.1934365192208943,,,,,,,0.4013045293158639,5.521649630226737e-40,0.3885267213078537,2.225187143550863e-37,,False
Normalized Variant Entropy,1000,0.6522396471312762,0.6567818877734912,0.6010014710912158,0.6960328059886218,0.145700028073085,,,,,,,0.4013045293158639,5.521649630226737e-40,0.3885267213078537,2.225187143550863e-37,,False
Number of Distinct Activities,100,8.59,8.0,6.0,11.0,0.5820721769499418,,,,,,,0.43305473990143994,5.701800928420006e-47,0.429784881009215,3.239839873788298e-46,,False
Number of Distinct Activities,200,9.61,10.0,8.0,11.0,0.3121748178980229,,,,,,,0.43305473990143994,5.701800928420006e-47,0.429784881009215,3.239839873788298e-46,,False
Number of Distinct Activities,300,9.84,10.0,8.0,11.0,0.3048780487804878,,,,,,,0.43305473990143994,5.701800928420006e-47,0.429784881009215,3.239839873788298e-46,,False
Number of Distinct Activities,400,10.03,10.0,8.0,11.0,0.29910269192422734,,,,,,,0.43305473990143994,5.701800928420006e-47,0.429784881009215,3.239839873788298e-46,,False
Number of Distinct Activities,500,10.31,11.0,8.0,11.0,0.2909796314258002,,,,,,,0.43305473990143994,5.701800928420006e-47,0.429784881009215,3.239839873788298e-46,,False
Number of Distinct Activities,600,10.3,11.0,8.0,11.0,0.2912621359223301,,,,,,,0.43305473990143994,5.701800928420006e-47,0.429784881009215,3.239839873788298e-46,,False
Number of Distinct Activities,700,10.41,11.0,8.0,11.0,0.2881844380403458,,,,,,,0.43305473990143994,5.701800928420006e-47,0.429784881009215,3.239839873788298e-46,,False
Number of Distinct Activities,800,10.62,11.0,8.95,11.0,0.19303201506591344,,,,,,,0.43305473990143994,5.701800928420006e-47,0.429784881009215,3.239839873788298e-46,,False
Number of Distinct Activities,900,10.53,11.0,8.0,11.0,0.2849002849002849,,,,,,,0.43305473990143994,5.701800928420006e-47,0.429784881009215,3.239839873788298e-46,,False
Number of Distinct Activities,1000,10.68,11.0,9.95,11.0,0.09831460674157311,,,,,,,0.43305473990143994,5.701800928420006e-47,0.429784881009215,3.239839873788298e-46,,False
Number of Distinct Directly-Follows Relations,100,14.67,14.0,9.95,21.049999999999997,0.756646216768916,,,,,,,0.6221115390034657,3.486907751903228e-108,0.6326334348860969,6.555926068208764e-113,,False
Number of Distinct Directly-Follows Relations,200,17.79,18.0,12.0,23.0,0.6183249016301293,,,,,,,0.6221115390034657,3.486907751903228e-108,0.6326334348860969,6.555926068208764e-113,,False
Number of Distinct Directly-Follows Relations,300,19.78,20.0,14.0,26.0,0.6066734074823054,,,,,,,0.6221115390034657,3.486907751903228e-108,0.6326334348860969,6.555926068208764e-113,,False
Number of Distinct Directly-Follows Relations,400,20.98,21.0,15.0,27.049999999999997,0.5743565300285985,,,,,,,0.6221115390034657,3.486907751903228e-108,0.6326334348860969,6.555926068208764e-113,,False
Number of Distinct Directly-Follows Relations,500,23.02,23.0,15.95,32.0,0.6972198088618593,,,,,,,0.6221115390034657,3.486907751903228e-108,0.6326334348860969,6.555926068208764e-113,,False
Number of Distinct Directly-Follows Relations,600,23.34,23.0,15.95,31.0,0.6448157669237361,,,,,,,0.6221115390034657,3.486907751903228e-108,0.6326334348860969,6.555926068208764e-113,,False
Number of Distinct Directly-Follows Relations,700,24.24,24.0,18.0,33.0,0.6188118811881188,,,,,,,0.6221115390034657,3.486907751903228e-108,0.6326334348860969,6.555926068208764e-113,,False
Number of Distinct Directly-Follows Relations,800,24.81,25.0,18.0,33.0,0.6045949214026602,,,,,,,0.6221115390034657,3.486907751903228e-108,0.6326334348860969,6.555926068208764e-113,,False
Number of Distinct Directly-Follows Relations,900,24.91,25.0,18.9,33.0,0.5660377358490567,,,,,,,0.6221115390034657,3.486907751903228e-108,0.6326334348860969,6.555926068208764e-113,,False
Number of Distinct Directly-Follows Relations,1000,26.42,26.0,20.95,33.0,0.45609386828160486,,,,,,,0.6221115390034657,3.486907751903228e-108,0.6326334348860969,6.555926068208764e-113,,False
Number of Distinct Traces,100,9.23,9.0,6.95,12.0,0.5471289274106175,,,,,,,0.6583699013672086,2.810342920415753e-125,0.7361596743018003,2.184823504619467e-171,,False
Number of Distinct Traces,200,11.11,11.0,8.0,14.049999999999997,0.5445544554455444,,,,,,,0.6583699013672086,2.810342920415753e-125,0.7361596743018003,2.184823504619467e-171,,False
Number of Distinct Traces,300,13.08,13.0,10.0,17.0,0.5351681957186545,,,,,,,0.6583699013672086,2.810342920415753e-125,0.7361596743018003,2.184823504619467e-171,,False
Number of Distinct Traces,400,14.06,13.0,10.0,18.0,0.5689900426742531,,,,,,,0.6583699013672086,2.810342920415753e-125,0.7361596743018003,2.184823504619467e-171,,False
Number of Distinct Traces,500,15.75,15.0,11.0,22.099999999999994,0.7047619047619044,,,,,,,0.6583699013672086,2.810342920415753e-125,0.7361596743018003,2.184823504619467e-171,,False
Number of Distinct Traces,600,16.77,16.0,11.0,25.14999999999999,0.8437686344663083,,,,,,,0.6583699013672086,2.810342920415753e-125,0.7361596743018003,2.184823504619467e-171,,False
Number of Distinct Traces,700,17.62,17.0,13.0,26.0,0.7377979568671963,,,,,,,0.6583699013672086,2.810342920415753e-125,0.7361596743018003,2.184823504619467e-171,,False
Number of Distinct Traces,800,18.43,17.0,13.95,26.099999999999994,0.6592512208355938,,,,,,,0.6583699013672086,2.810342920415753e-125,0.7361596743018003,2.184823504619467e-171,,False
Number of Distinct Traces,900,18.66,18.0,14.0,25.0,0.5894962486602358,,,,,,,0.6583699013672086,2.810342920415753e-125,0.7361596743018003,2.184823504619467e-171,,False
Number of Distinct Traces,1000,20.02,19.0,15.0,27.049999999999997,0.6018981018981018,,,,,,,0.6583699013672086,2.810342920415753e-125,0.7361596743018003,2.184823504619467e-171,,False
Number of Events,100,378.48,374.5,293.8,475.29999999999995,0.4795497780596067,,,,,,,0.967638268451272,0.0,0.9739676616589006,0.0,,False
