Metric,Sample Size,Mean Value,Median Value,Sample Q05,Sample Q95,Empirical CI Rel Width,Sample CI Low,Sample CI High,Sample CI Rel Width,Sample Std,Bootstrap CI Low,Bootstrap CI High,Pearson Rho,Pearson P,Spearman Rho,Spearman P,Plateau n,Plateau Found
Percentage of Distinct Traces,1000,0.020019999999999996,0.019,0.015,0.027049999999999998,0.6018981018981019,0.014475000000000002,0.029524999999999992,0.7517482517482514,,,,,,,,,False
Sequence Entropy,100,309.22053883292506,301.23228898499076,180.6927491351732,453.5032364882615,0.8822521569322099,168.23280776801602,471.501218130047,0.9807511865370946,,,,,,,,,False
Sequence Entropy,500,1563.2495008023946,1470.2868690290525,1043.0073011673164,2237.1357595767486,0.7638757970474338,991.9760012520526,2391.8661897196903,0.8955001666394861,,,,,,,,,False
Sequence Entropy,1000,3275.353429906343,3007.2324159419804,2202.0769320113372,4996.0981351137525,0.853044186801639,2108.0648342104455,5255.526799279334,0.9609533848562073,,,,,,,,,False
Structure,100,0.7951699048436331,0.8077777777777778,0.6944444444444444,0.8516528925619835,0.19770422290875492,0.6666666666666667,0.8597644628099174,0.2428384109698197,,,,,,,,,False
Structure,500,0.7830646464646465,0.79,0.7347603305785124,0.8264462809917356,0.11708605518990513,0.71875,0.8347107438016529,0.1480857861802196,,,,,,,,,False
Structure,1000,0.768180866110601,0.768595041322314,0.7272727272727273,0.810409090909091,0.10822498620317612,0.710546875,0.8181818181818181,0.14011666774100703,,,,,,,,,False
Variant Entropy,100,31.89565077816064,29.60397362857076,15.769025042631249,58.74714405028832,1.3474601696192616,14.554559901307467,61.97217207075321,1.4866482110442842,,,,,,,,,False
Variant Entropy,500,73.20135397525303,64.6773434255041,40.796490319464006,130.9284358981844,1.23128795690297,36.62334608285899,152.20454873298553,1.5789489725722936,,,,,,,,,False
Variant Entropy,1000,101.14504212093976,95.78893360432055,59.47645479867258,163.96593141751072,1.0330657284605154,52.22551125828654,173.62105858201573,1.200212534180131,,,,,,,,,False
