Metric,Sample Size,Mean Value,Median Value,Bootstrap CI Low,Bootstrap CI High,Sample CI Low,Sample CI High,Sample CI Rel Width,Sample Q05,Sample Q95,Empirical CI Rel Width,Pearson Rho,Pearson P,Spearman Rho,Spearman P,Plateau n,Plateau Found
Avg. Trace Length,800,3.7311875,3.655,,,,,,,,,-0.021132300360304387,0.504452335164836,-0.0393762715559447,0.21345828486934548,100.0,True
Avg. Trace Length,900,3.7342333333333335,3.635,,,,,,,,,-0.021132300360304387,0.504452335164836,-0.0393762715559447,0.21345828486934548,100.0,True
Avg. Trace Length,1000,3.72933,3.726,,,3.000925,4.8112,0.4854156108469887,3.1136,4.48365,0.3673716190307642,-0.021132300360304387,0.504452335164836,-0.0393762715559447,0.21345828486934548,100.0,True
Deviation from Random,100,0.5926518234779301,0.5945523845437297,,,0.5339891934482047,0.6282801011155251,0.15910000430603877,0.5600490152045033,0.6234058725579206,0.10690401150141166,-0.0007694561581642772,0.9806117889367983,-0.04045922465719607,0.20112384066629854,100.0,True
Deviation from Random,200,0.5928576792557166,0.5962508514263495,,,,,,,,,-0.0007694561581642772,0.9806117889367983,-0.04045922465719607,0.20112384066629854,100.0,True
Deviation from Random,300,0.5912509076684429,0.5927151663755814,,,,,,,,,-0.0007694561581642772,0.9806117889367983,-0.04045922465719607,0.20112384066629854,100.0,True
Deviation from Random,400,0.5893656182356207,0.5933664690115215,,,,,,,,,-0.0007694561581642772,0.9806117889367983,-0.04045922465719607,0.20112384066629854,100.0,True
Deviation from Random,500,0.5920431051959103,0.5929718859823971,,,0.5507383502284532,0.6168096263722093,0.11159875955635482,0.5649937689113438,0.6148755469551266,0.08425362546410645,-0.0007694561581642772,0.9806117889367983,-0.04045922465719607,0.20112384066629854,100.0,True
Deviation from Random,600,0.5914264977360993,0.5952188896140136,,,,,,,,,-0.0007694561581642772,0.9806117889367983,-0.04045922465719607,0.20112384066629854,100.0,True
Deviation from Random,700,0.5930224042469192,0.5923340953627186,,,,,,,,,-0.0007694561581642772,0.9806117889367983,-0.04045922465719607,0.20112384066629854,100.0,True
Deviation from Random,800,0.5916115463857541,0.5930000718237587,,,,,,,,,-0.0007694561581642772,0.9806117889367983,-0.04045922465719607,0.20112384066629854,100.0,True
Deviation from Random,900,0.5918109251747772,0.5916028910184086,,,,,,,,,-0.0007694561581642772,0.9806117889367983,-0.04045922465719607,0.20112384066629854,100.0,True
Deviation from Random,1000,0.5920024979416345,0.5916315124236866,,,0.5709062966064843,0.6184567606709792,0.0803213909228858,0.5776564914434337,0.6150485646000295,0.06316201922560528,-0.0007694561581642772,0.9806117889367983,-0.04045922465719607,0.20112384066629854,100.0,True
Estimated Number of Acyclic Paths,100,4.166545018095641,3.630780547701014,,,2.08929613085404,13.182567385564074,2.6624628334821927,2.08929613085404,9.120108393559097,1.6874442090916268,0.36111930636305817,3.634370858338556e-32,0.6473881619245807,7.461450400688192e-120,4100.0,True
Estimated Number of Acyclic Paths,200,6.18293863585351,5.248074602497725,,,,,,,,,0.36111930636305817,3.634370858338556e-32,0.6473881619245807,7.461450400688192e-120,4100.0,True
Estimated Number of Acyclic Paths,300,8.550508628627314,7.585775750291837,,,,,,,,,0.36111930636305817,3.634370858338556e-32,0.6473881619245807,7.461450400688192e-120,4100.0,True
