Metric,Sample Size,Mean Value,Median Value,Bootstrap CI Low,Bootstrap CI High,Sample CI Low,Sample CI High,Sample CI Rel Width,Sample Q05,Sample Q95,Empirical CI Rel Width,Pearson Rho,Pearson P,Spearman Rho,Spearman P,Plateau n,Plateau Found
Min. Trace Length,900,3.0,3.0,,,,,,,,,,,,,100.0,True
Min. Trace Length,1000,3.0,3.0,,,3.0,3.0,0.0,3.0,3.0,0.0,,,,,100.0,True
Normalized Sequence Entropy,100,0.43191173504171615,0.43376044001572855,,,0.39516032621422564,0.4611810124481187,0.15285689384549014,0.4053418865528262,0.4530753792735217,0.11051677657261422,0.31599951614767846,1.260393441419445e-24,0.2999701721690496,3.0677357908610473e-22,2100.0,True
Normalized Sequence Entropy,200,0.44475167872149357,0.4463016569630107,,,,,,,,,0.31599951614767846,1.260393441419445e-24,0.2999701721690496,3.0677357908610473e-22,2100.0,True
Normalized Sequence Entropy,300,0.4515811543618841,0.4531688768851475,,,,,,,,,0.31599951614767846,1.260393441419445e-24,0.2999701721690496,3.0677357908610473e-22,2100.0,True
Normalized Sequence Entropy,400,0.45063842008582744,0.4511268887903864,,,,,,,,,0.31599951614767846,1.260393441419445e-24,0.2999701721690496,3.0677357908610473e-22,2100.0,True
Normalized Sequence Entropy,500,0.4508706455676547,0.4518794454407389,,,0.4264525628188421,0.4707073330010135,0.09815402847185536,0.4305377629482812,0.4677537044751922,0.08254239190944758,0.31599951614767846,1.260393441419445e-24,0.2999701721690496,3.0677357908610473e-22,2100.0,True
Normalized Sequence Entropy,600,0.4530430685465616,0.4547710073585221,,,,,,,,,0.31599951614767846,1.260393441419445e-24,0.2999701721690496,3.0677357908610473e-22,2100.0,True
Normalized Sequence Entropy,700,0.4532263960915841,0.45451353003894013,,,,,,,,,0.31599951614767846,1.260393441419445e-24,0.2999701721690496,3.0677357908610473e-22,2100.0,True
Normalized Sequence Entropy,800,0.4565283771808843,0.45998804905106555,,,,,,,,,0.31599951614767846,1.260393441419445e-24,0.2999701721690496,3.0677357908610473e-22,2100.0,True
Normalized Sequence Entropy,900,0.4511491505233937,0.4525239768846129,,,,,,,,,0.31599951614767846,1.260393441419445e-24,0.2999701721690496,3.0677357908610473e-22,2100.0,True
Normalized Sequence Entropy,1000,0.4521354791983683,0.4537833548972051,,,0.4297835213130107,0.46614862329717405,0.08042965804992419,0.43367534205259084,0.4657044067064352,0.07083952958222076,0.31599951614767846,1.260393441419445e-24,0.2999701721690496,3.0677357908610473e-22,2100.0,True
Normalized Variant Entropy,100,0.5175895776506699,0.518654308993123,,,0.48401358159289176,0.5477644322762264,0.12316872950320723,0.49176902511852666,0.5435863191846719,0.10011270764249748,0.8832978286281562,0.0,0.9249866276269256,0.0,,False
Normalized Variant Entropy,200,0.5577440171575951,0.5575085087143059,,,,,,,,,0.8832978286281562,0.0,0.9249866276269256,0.0,,False
Normalized Variant Entropy,300,0.5786791963931166,0.5792767192898663,,,,,,,,,0.8832978286281562,0.0,0.9249866276269256,0.0,,False
Normalized Variant Entropy,400,0.5913752168355161,0.5920250872046211,,,,,,,,,0.8832978286281562,0.0,0.9249866276269256,0.0,,False
Normalized Variant Entropy,500,0.6028364567669289,0.6040618243930621,,,0.5798898641410092,0.6197223093374552,0.06607504365291929,0.5846334139588463,0.6183498065390055,0.055929584552638974,0.8832978286281562,0.0,0.9249866276269256,0.0,,False
Normalized Variant Entropy,600,0.6100762173827633,0.6104345688939831,,,,,,,,,0.8832978286281562,0.0,0.9249866276269256,0.0,,False
Normalized Variant Entropy,700,0.6185558977983969,0.6197188754091691,,,,,,,,,0.8832978286281562,0.0,0.9249866276269256,0.0,,False
Normalized Variant Entropy,800,0.6217196799897873,0.6230394741753745,,,,,,,,,0.8832978286281562,0.0,0.9249866276269256,0.0,,False
Normalized Variant Entropy,900,0.6261485782191857,0.6253199675700172,,,,,,,,,0.8832978286281562,0.0,0.9249866276269256,0.0,,False
Normalized Variant Entropy,1000,0.6304563803544463,0.6319589369525729,,,0.6129763184161545,0.6419884411281416,0.04601765263391619,0.6184109466278531,0.6414992594886364,0.03662158648914441,0.8832978286281562,0.0,0.9249866276269256,0.0,,False
Number of Distinct Activities,100,22.6,23.0,,,22.0,23.0,0.04424778761061947,22.0,23.0,0.04424778761061947,0.4306767590092984,2.020901026300932e-46,0.4207726655458127,3.5291480443785997e-44,4100.0,True
Number of Distinct Activities,200,22.88,23.0,,,,,,,,,0.4306767590092984,2.020901026300932e-46,0.4207726655458127,3.5291480443785997e-44,4100.0,True
