Metric,Sample Size,Mean Value,Sample CI Low,Sample CI High,Sample CI Rel Width,Pearson Rho,Pearson P,Spearman Rho,Spearman P,Plateau n,Plateau Found
Avg. Trace Length,300,3.75638,2.7963333333333336,4.965083333333333,0.5773510667184896,0.0012206403568216816,0.9312352843623184,0.00346157909569133,0.8066808772155445,50.0,True
Avg. Trace Length,350,3.748817142857143,2.6857142857142855,4.875285714285713,0.5840699466345953,0.0012206403568216816,0.9312352843623184,0.00346157909569133,0.8066808772155445,50.0,True
Avg. Trace Length,400,3.71905,2.6323749999999997,4.7713125,0.5751300735402858,0.0012206403568216816,0.9312352843623184,0.00346157909569133,0.8066808772155445,50.0,True
Avg. Trace Length,450,3.747697777777778,2.7036666666666673,4.940499999999998,0.5968553138400814,0.0012206403568216816,0.9312352843623184,0.00346157909569133,0.8066808772155445,50.0,True
Avg. Trace Length,500,3.749936,2.8599500000000013,4.894099999999998,0.5424492578006657,0.0012206403568216816,0.9312352843623184,0.00346157909569133,0.8066808772155445,50.0,True
Deviation from Random,50,0.592396042675647,0.4774096831993624,0.6353512667100928,0.2666148524513485,-0.025203962041707426,0.07474487624019346,-0.08586107380265284,1.1942886917168003e-09,50.0,True
Deviation from Random,100,0.5944530002329456,0.5408677738217198,0.6303420136471792,0.15051524643730887,-0.025203962041707426,0.07474487624019346,-0.08586107380265284,1.1942886917168003e-09,50.0,True
Deviation from Random,150,0.5907878138864092,0.5332240088814659,0.6298562004689965,0.16356497090190494,-0.025203962041707426,0.07474487624019346,-0.08586107380265284,1.1942886917168003e-09,50.0,True
Deviation from Random,200,0.5914038849126361,0.526019141357284,0.6209615040965105,0.16053726592149742,-0.025203962041707426,0.07474487624019346,-0.08586107380265284,1.1942886917168003e-09,50.0,True
Deviation from Random,250,0.5928922610702522,0.5544460062642236,0.6201127317450423,0.1107565906869509,-0.025203962041707426,0.07474487624019346,-0.08586107380265284,1.1942886917168003e-09,50.0,True
Deviation from Random,300,0.5905692102747421,0.5541950042925714,0.6194795944182736,0.11054519773445484,-0.025203962041707426,0.07474487624019346,-0.08586107380265284,1.1942886917168003e-09,50.0,True
Deviation from Random,350,0.5897389479106262,0.5333464206370894,0.6186151256591355,0.14458720307373762,-0.025203962041707426,0.07474487624019346,-0.08586107380265284,1.1942886917168003e-09,50.0,True
Deviation from Random,400,0.5888841752769963,0.5185044738651767,0.6186175960073038,0.17000477571847875,-0.025203962041707426,0.07474487624019346,-0.08586107380265284,1.1942886917168003e-09,50.0,True
Deviation from Random,450,0.5911232269578248,0.5423895298761313,0.619152883817151,0.12986015510856674,-0.025203962041707426,0.07474487624019346,-0.08586107380265284,1.1942886917168003e-09,50.0,True
Deviation from Random,500,0.5921086527953299,0.5555084804866175,0.6189577525351541,0.1071581571203092,-0.025203962041707426,0.07474487624019346,-0.08586107380265284,1.1942886917168003e-09,50.0,True
Estimated Number of Acyclic Paths,50,2.7670278464565072,1.4454397707459274,6.309573444801933,1.7578911178234367,0.38340291630132073,8.1807862798405e-175,0.6388799506868299,0.0,,False
Estimated Number of Acyclic Paths,100,4.0443125256231935,1.7378008287493754,10.964781961431852,2.281470849303536,0.38340291630132073,8.1807862798405e-175,0.6388799506868299,0.0,,False
Estimated Number of Acyclic Paths,150,5.376079442802537,2.0892961308540396,15.848931924611133,2.5594182415176943,0.38340291630132073,8.1807862798405e-175,0.6388799506868299,0.0,,False
Estimated Number of Acyclic Paths,200,6.637396024664875,2.0892961308540396,19.054607179632473,2.5560191053441046,0.38340291630132073,8.1807862798405e-175,0.6388799506868299,0.0,,False
Estimated Number of Acyclic Paths,250,7.302283370563563,2.51188643150958,19.054607179632473,2.2654175288251226,0.38340291630132073,8.1807862798405e-175,0.6388799506868299,0.0,,False
Estimated Number of Acyclic Paths,300,9.361289965505488,2.51188643150958,36.62935472448154,3.644526386714664,0.38340291630132073,8.1807862798405e-175,0.6388799506868299,0.0,,False
Estimated Number of Acyclic Paths,350,11.044208734930436,3.019951720402016,39.810717055349734,3.3312269097727674,0.38340291630132073,8.1807862798405e-175,0.6388799506868299,0.0,,False
Estimated Number of Acyclic Paths,400,10.991562900394213,3.019951720402016,30.466970218692197,2.4970987972334484,0.38340291630132073,8.1807862798405e-175,0.6388799506868299,0.0,,False
Estimated Number of Acyclic Paths,450,13.687612227357047,3.630780547701014,57.543993733715695,3.9388325947939884,0.38340291630132073,8.1807862798405e-175,0.6388799506868299,0.0,,False
Estimated Number of Acyclic Paths,500,15.168248142517196,3.9796099906838283,57.543993733715695,3.5313493845666195,0.38340291630132073,8.1807862798405e-175,0.6388799506868299,0.0,,False
Lempel-Ziv Complexity,50,80.216,64.0,100.0,0.4487882716665005,0.9611866558994083,0.0,0.9638513809815928,0.0,,False
Lempel-Ziv Complexity,100,135.59,113.0,164.04999999999995,0.3765026919389332,0.9611866558994083,0.0,0.9638513809815928,0.0,,False
Lempel-Ziv Complexity,150,184.078,150.0,232.52499999999998,0.44831538804202553,0.9611866558994083,0.0,0.9638513809815928,0.0,,False
Lempel-Ziv Complexity,200,230.776,185.0,274.04999999999995,0.3858720144209101,0.9611866558994083,0.0,0.9638513809815928,0.0,,False
Lempel-Ziv Complexity,250,272.442,221.0,313.57499999999993,0.3397970944274375,0.9611866558994083,0.0,0.9638513809815928,0.0,,False
Lempel-Ziv Complexity,300,313.752,247.47500000000002,389.525,0.4527461179530328,0.9611866558994083,0.0,0.9638513809815928,0.0,,False
Lempel-Ziv Complexity,350,355.518,278.0,428.87499999999966,0.4243807627180612,0.9611866558994083,0.0,0.9638513809815928,0.0,,False
Lempel-Ziv Complexity,400,391.758,305.0,466.67499999999984,0.4126909980140797,0.9611866558994083,0.0,0.9638513809815928,0.0,,False
Lempel-Ziv Complexity,450,430.35,336.0,513.1499999999999,0.411641686998954,0.9611866558994083,0.0,0.9638513809815928,0.0,,False
Lempel-Ziv Complexity,500,470.976,361.0,606.1499999999999,0.5205148457670876,0.9611866558994083,0.0,0.9638513809815928,0.0,,False
Max. Trace Length,50,6.81,5.0,10.0,0.7342143906020558,0.3453198852624165,5.076721091638471e-140,0.38409728643650076,1.712918082144113e-175,,False
Max. Trace Length,100,7.492,6.0,10.0,0.5339028296849974,0.3453198852624165,5.076721091638471e-140,0.38409728643650076,1.712918082144113e-175,,False
Max. Trace Length,150,7.886,6.0,11.524999999999977,0.7006086735987798,0.3453198852624165,5.076721091638471e-140,0.38409728643650076,1.712918082144113e-175,,False
Max. Trace Length,200,8.16,6.0,11.0,0.6127450980392157,0.3453198852624165,5.076721091638471e-140,0.38409728643650076,1.712918082144113e-175,,False
Max. Trace Length,250,8.256,6.0,10.0,0.4844961240310077,0.3453198852624165,5.076721091638471e-140,0.38409728643650076,1.712918082144113e-175,,False
